fullName,description,url,stars,size,language,pushedAt,forks,openIssues
spring-cloud/spring-cloud-consul,Spring Cloud Consul,https://github.com/spring-cloud/spring-cloud-consul,822,76764,Java,Tue Jun 23 07:41:15 CST 2026,540,134
rieckpil/blog-tutorials,:star: Codebase for various tutorials  about Java; Spring Boot; AWS; Kotlin; and Testing,https://github.com/rieckpil/blog-tutorials,809,26496,Java,Wed May 27 00:49:01 CST 2026,751,14
darbyluv2code/spring-and-hibernate-for-beginners,Source code for the course: Spring and Hibernate for Beginners,https://github.com/darbyluv2code/spring-and-hibernate-for-beginners,807,3955,Java,Sun Apr 19 11:34:45 CST 2026,763,0
moshowgame/spring-cloud-study,SpringBootLearning，SpringCloudStudy，学习SpringBoot2/SpringCloud2的项目，包含Eureka/Zuul/JPA/Mybatis Plus/Feign/WebSocket/JMS/POI-TL/Redis Cache/UDP/SecurityJWT/elasticSearch/Drools,https://github.com/moshowgame/spring-cloud-study,775,306,Java,Wed May 27 10:12:04 CST 2026,848,2
pig-mesh/deepseek4j,deepseek java sdk ,https://github.com/pig-mesh/deepseek4j,751,201,Java,Fri Apr 24 19:38:46 CST 2026,143,13
spring-cloud/spring-cloud-commons,Common classes used in different Spring Cloud implementations,https://github.com/spring-cloud/spring-cloud-commons,749,16483,Java,Fri Jun 26 18:34:58 CST 2026,736,178
spring-cloud/spring-cloud-contract,Support for Consumer Driven Contracts in Spring,https://github.com/spring-cloud/spring-cloud-contract,732,138363,Java,Tue Jun 23 07:47:14 CST 2026,439,111
naturalprogrammer/spring-lemon,Helper library for Spring Boot web applications,https://github.com/naturalprogrammer/spring-lemon,712,1466,Java,Fri Jul 11 19:10:02 CST 2025,181,13
eventuate-tram/eventuate-tram-examples-customers-and-orders,An example of Choreography-based sagas in Spring Boot/JPA microservices,https://github.com/eventuate-tram/eventuate-tram-examples-customers-and-orders,712,1536,Java,Wed Apr 01 15:22:48 CST 2026,312,36
wwwlike/vlife,上手简单，无需前端开发的准零代码平台，做轻流/明道本地化的平替产品。,https://github.com/wwwlike/vlife,711,25134,Java,Mon Jul 07 22:23:36 CST 2025,95,5
Alovoa/alovoa,Free and open-source dating platform that respects your privacy,https://github.com/Alovoa/alovoa,710,27353,Java,Thu May 14 11:19:28 CST 2026,157,75
openwms/org.openwms,Open Warehouse Management System,https://github.com/openwms/org.openwms,700,103933,Java,Thu Feb 12 06:09:30 CST 2026,218,4
dolyw/ShiroJwt,API SpringBoot + Shiro + Java-Jwt + Redis(Jedis),https://github.com/dolyw/ShiroJwt,688,203,Java,Wed Feb 11 13:53:59 CST 2026,271,9
ccmjga/mjga-scaffold,🔥 一个与 IntelliJ IDEA 配套的 Java 脚手架，你的专属生产力工具。,https://github.com/ccmjga/mjga-scaffold,688,10855,Java,Tue Jul 29 02:24:21 CST 2025,41,4
smart-cloud/smart-cloud,基于springboot && springcloud的脚手架，支持服务合并部署与拆分部署、接口加解密签名、日志数据 脱敏、接口数据mock、接口文档自动生成、请求幂等校验、接口日志&&sql日志切面打印、分表分库分布式事务、国际化语言、接口监控及服务监控等,https://github.com/smart-cloud/smart-cloud,687,3611,Java,Fri Jun 12 06:25:56 CST 2026,170,0
wimdeblauwe/htmx-spring-boot,Spring Boot and Thymeleaf helpers for working with htmx,https://github.com/wimdeblauwe/htmx-spring-boot,683,575,Java,Sat Mar 14 11:02:28 CST 2026,63,4
nagisa77/OpenIsle,完全开源的社区平台,https://github.com/nagisa77/OpenIsle,674,33664,Java,Thu Feb 12 02:43:35 CST 2026,132,15
mateaix/mateclaw,🤖 MateClaw — Your second brain with Multi-Agent Orchestration; MCP Protocol; Skills & Memory; Dream; and Multi-Channel Support. Built on Spring AI Alibaba.,https://github.com/mateaix/mateclaw,670,33128,Java,Tue Jun 30 03:21:16 CST 2026,205,83
ch4mpy/spring-addons,Additional Spring Boot auto-configuration for OAuth2 / OpenID & REST,https://github.com/ch4mpy/spring-addons,667,15196,Java,Sat Jun 13 10:48:06 CST 2026,99,7
KouShenhai/KCloud-Platform-IoT,KCloud-Platform-IoT（老寇IoT云平台）是一个企业级单体架构和微服务架构的IoT云平台。采用DDD(领域驱动设计)思想，基于Spring Boot 4.1.0、Spring Cloud 2025.1.2、Spring Cloud Alibaba 2025.1.0.0 最新版本开发的云服务多租户IoT平台，家人们，点个star！拜托啦~,https://github.com/KouShenhai/KCloud-Platform-IoT,662,324327,Java,Tue Jun 30 05:40:15 CST 2026,153,15
pig-mesh/excel-spring-boot-starter,本项目旨在为用户提供一个便捷的 Excel 导出解决方案。基于阿里巴巴的 EasyExcel、FastExcel 库，结合 Spring Boot 框架，封装并优化了 Excel 文件的导出流程，帮助开发者更高效地实现数据导出功能。,https://github.com/pig-mesh/excel-spring-boot-starter,649,376,Java,Thu May 21 07:40:08 CST 2026,171,21
Jarrettluo/all-docs,"All Docs" is a tool that enables online previewing; storage; and sharing of documents such as Word; Excel; PowerPoint; PDF; and images (Pic). It supports full-text search for all document information.  “全文档”(All Docs)，Word; Excel; PPT; PDF; Pic等文档在线预览、存储、共享的工具，并且支持全文搜索的所有的文档信息。demo账号密码：admin123,https://github.com/Jarrettluo/all-docs,643,52224,Java,Sat May 09 01:41:36 CST 2026,153,11
Sunagatov/Iced-Latte,a online Marketplace for coffee retail (Backend),https://github.com/Sunagatov/Iced-Latte,635,90239,Java,Sat Jun 27 16:52:14 CST 2026,136,17
Ahoo-Wang/CosId,Universal; flexible; high-performance distributed ID generator.                              | 通用、灵活、高性能的分布式 ID 生成器,https://github.com/Ahoo-Wang/CosId,634,11706,Java,Thu Jun 25 07:53:16 CST 2026,86,15
Hakky54/mutual-tls-ssl,🔐 Tutorial of setting up Security for your API with one way authentication with TLS/SSL and mutual authentication for a java based web server and a client with both Spring Boot. Different clients are provided such as Apache HttpClient; OkHttp; Spring RestTemplate; Spring WebFlux WebClient Jetty and Netty; the old and the new JDK HttpClient; the old and the new Jersey Client; Google HttpClient; Unirest; Retrofit; Feign; Methanol; vertx; Scala client Finagle; Featherbed; Dispatch Reboot; AsyncHttpClient; Sttp; Akka; Requests Scala; Http4s Blaze; Kotlin client Fuel; http4k; Kohttp and ktor. Also other server examples are available such as jersey with grizzly. Also gRPC; WebSocket and ElasticSearch examples are included,https://github.com/Hakky54/mutual-tls-ssl,633,1631,Java,Sat Jun 27 16:32:43 CST 2026,129,1
bage2014/study,Java全栈工程师学习笔记；Spring、shiro、CAS、oauth2单点登录；cache 、Redis; web 安全及解决思路；redis、mq、quartz、docker；Docker各种组件实践等；mybatis、spring、spring boot实践；分布式锁；基于分库分表等等；Java full-stack engineer study notes; Spring; shiro; CAS; oauth2 single sign-on; cache; Redis; web security and solutions; redis; mq; quartz; docker; Docker various component practices; etc.; ,https://github.com/bage2014/study,624,405498,Java,Sun Jun 28 19:03:13 CST 2026,111,71
apache/incubator-kie-kogito-runtimes,Kogito Runtimes is a cloud-native business automation technology for building cloud-ready business applications,https://github.com/apache/incubator-kie-kogito-runtimes,611,307068,Java,Tue Jun 30 07:07:45 CST 2026,252,104
hzxie/voj,A cross-platform online judge system based on Spring framework and ActiveMQ.,https://github.com/hzxie/voj,611,7580,Java,Mon Jun 29 22:15:10 CST 2026,121,0
seed4j/seed4j,Seed4J is a modular code generator with clean architecture,https://github.com/seed4j/seed4j,610,71891,Java,Mon Jun 29 23:53:58 CST 2026,224,84
openanalytics/shinyproxy,ShinyProxy - Open Source Enterprise Deployment for Shiny and data science apps,https://github.com/openanalytics/shinyproxy,606,1706,Java,Fri May 15 07:19:52 CST 2026,159,67
818000/bus,Bus (Enterprise Application/Service Bus) is a foundational framework and service suite; a lightweight enterprise-grade application/service framework built on Java 17+; providing standardized service suites and distributed middleware solutions.,https://github.com/818000/bus,605,429445,Java,Mon Jun 29 23:13:45 CST 2026,36,0
line/line-fido2-server,FIDO2(WebAuthn) server officially certified by FIDO Alliance and Relying Party examples.,https://github.com/line/line-fido2-server,580,14563,Java,Tue Apr 28 17:36:20 CST 2026,109,9
spring-cloud/spring-cloud-zookeeper,Spring Cloud Zookeeper,https://github.com/spring-cloud/spring-cloud-zookeeper,574,31342,Java,Tue Jun 23 07:46:24 CST 2026,410,38
laigeoffer/pmhub,PmHub，一个基于 SpringCloud & LLM 的智能项目管理系统，该项目旨在帮助小伙伴们快速掌握微服务/分布式项目的架构设计和开发流程。如果你想在校招或者社招中拿到一个满意的 offer，PmHub 将是一个非常 nice 的选择😄。,https://github.com/laigeoffer/pmhub,563,19039,Java,Tue Jun 24 18:47:16 CST 2025,185,3
TimefoldAI/timefold-quickstarts,Get started with Timefold quickstarts here. Optimize the vehicle routing problem; employee rostering; task assignment; maintenance scheduling and other planning problems.,https://github.com/TimefoldAI/timefold-quickstarts,559,38761,Java,Mon Jun 29 04:42:59 CST 2026,163,9
wells2333/sg-exam,基于Spring Boot搭建的新一代教学管理平台，提供权限管理、考试、问卷、练习等功能,https://github.com/wells2333/sg-exam,552,93747,Java,Sat Apr 04 23:43:38 CST 2026,192,3
stick-i/scblogs,🎉校园博客，基于微服务架构且前后端分离的博客社区系统。项目后端技术栈：JDK17+SpringBoot + SpringCloud + Mybatis-Plus + Nacos + MySQL + Redis + MQ + ElasticSearch + Docker。前端主要是基于Vue2和ElementUI进行开发的。,https://github.com/stick-i/scblogs,544,4292,Java,Fri Dec 19 02:04:03 CST 2025,105,18
itwanger/PaiAgent,🔥轻量级的AI工作流编排系统，类似dify、n8n，全程使用Vibe Coding，AI工具为Qoder+CLI。涉及到的技术栈包括SpringAI、LangGraph4J、SSE、MinIO、DAG自定引擎等。,https://github.com/itwanger/PaiAgent,540,4745,Java,Tue Jun 16 20:36:25 CST 2026,107,6
quick-perf/quickperf,QuickPerf is a testing library for Java to quickly evaluate and improve some performance-related properties,https://github.com/quick-perf/quickperf,536,1682,Java,Wed May 06 08:46:13 CST 2026,73,22
piomin/sample-spring-microservices-kubernetes,Sample Spring Boot application that uses some features provided by Spring Cloud Kubernetes; Spring Cloud OpenFeign and Spring Cloud Gateway deployed on Kubernetes,https://github.com/piomin/sample-spring-microservices-kubernetes,533,1335,Java,Wed Jun 24 08:50:35 CST 2026,333,2
booklore-app/booklore,BookLore: A self-hosted; multi-user digital library with smart shelves; auto metadata; Kobo & KOReader sync; BookDrop imports; OPDS support; and a built-in reader for EPUB; PDF; and comics.,https://github.com/booklore-app/booklore,532,52539,Java,Fri Jun 26 14:30:49 CST 2026,47,540
lishuangqiang/AI-Meeting,基于 Spring Boot 3 + Java 17 + Spring AI + MySQL + MongoDB + Redis + SSE/WebSocket，实现 AI 对话、智能体会话、AI 模拟面试、实时语音转写、长文本语音合成等核心功能。架构清晰、文档完整，支持本地运行与 Docker 一键部署，非常适合作为 Spring Boot AI 应用开发、智能体后端设计与简历展示项目。,https://github.com/lishuangqiang/AI-Meeting,531,6176,Java,Mon Jun 15 21:25:39 CST 2026,74,1
JavatoDev-com/internet-banking-concept-microservices,Internet Banking Concept Microservices,https://github.com/JavatoDev-com/internet-banking-concept-microservices,525,635,Java,Thu Nov 06 10:01:25 CST 2025,278,6
gessnerfl/fake-smtp-server,A simple SMTP Server for Testing purposes. Emails are stored in an in-memory database and rendered in a Web UI,https://github.com/gessnerfl/fake-smtp-server,505,2776,Java,Sat Jun 20 10:46:08 CST 2026,101,37
wimdeblauwe/error-handling-spring-boot-starter,Spring Boot starter for configurable REST API error handling,https://github.com/wimdeblauwe/error-handling-spring-boot-starter,504,1377,Java,Wed Apr 08 03:26:42 CST 2026,60,4
hantsy/spring-webmvc-jwt-sample,Secures REST APIs with Spring Security and JWT Token based Authentication,https://github.com/hantsy/spring-webmvc-jwt-sample,490,298,Java,Wed Jun 10 13:54:26 CST 2026,228,1
citrusframework/citrus,Framework for automated integration tests with focus on message-based applications,https://github.com/citrusframework/citrus,484,104996,Java,Mon Jun 29 13:14:11 CST 2026,149,182
siam1026/siam-server,暹罗点餐是一款Java餐饮点餐系统，适用于多门店的连锁品牌，对标蜜雪冰城、瑞幸咖啡。该系统包含用户端、商家端、配送端以及总管理后台，美食下单、外卖配送、连锁餐饮和扫码点餐等核心功能，同时提供积分商城、会员中心和邀请好友注册返现等增值服务，以拓展客源。基于 Spring Boot + MyBatis Plus + Vue & Element + uni-app 技术栈进行开发；,https://github.com/siam1026/siam-server,481,19155,Java,Sat Jun 13 07:41:24 CST 2026,93,2
BNYMellon/spring-kata,Code katas for learning Spring® and Spring Boot.,https://github.com/BNYMellon/spring-kata,478,292,Java,Mon Jan 12 09:58:52 CST 2026,103,2
apache/camel-examples,Apache Camel Examples,https://github.com/apache/camel-examples,478,11756,Java,Tue Jun 30 01:39:54 CST 2026,381,2
9tigerio/db2rest,Instant no code DATA API platform for relational databases. Connect any database; run anywhere. Power your GENAI application function/tools calls in seconds.,https://github.com/9tigerio/db2rest,464,80911,Java,Sat May 30 08:30:17 CST 2026,87,23
zonkyio/embedded-database-spring-test,A library for creating isolated embedded databases for Spring-powered integration tests.,https://github.com/zonkyio/embedded-database-spring-test,464,974,Java,Thu Mar 12 14:48:51 CST 2026,42,12
javadevjournal/javadevjournal,Source code for the tutorials published on the Javadevjournal site.,https://github.com/javadevjournal/javadevjournal,462,4341,Java,Fri Dec 19 16:51:09 CST 2025,993,11
spring-cloud/spring-cloud-bus,Spring Cloud event bus,https://github.com/spring-cloud/spring-cloud-bus,444,3321,Java,Tue Jun 23 07:47:36 CST 2026,245,24
fo11ow-me/hrm,基于Spring Boot+Vue+ElementUI的人力资源管理系统,https://github.com/fo11ow-me/hrm,438,25781,Java,Wed Jun 24 07:43:31 CST 2026,100,43
joinfaces/joinfaces,JoinFaces: JSF Spring Boot Starters - JSF inside Spring Boot Application,https://github.com/joinfaces/joinfaces,435,9651,Java,Tue Jun 30 05:32:59 CST 2026,96,49
bonigarcia/mastering-junit5,Examples of the Packt book "Mastering Software Testing with JUnit 5: Comprehensive guide to develop high quality Java applications",https://github.com/bonigarcia/mastering-junit5,431,5088,Java,Mon Jun 29 00:50:07 CST 2026,237,0
SasanLabs/VulnerableApp,OWASP VulnerableApp Project: Break it. Scan it. Reproduce it. Benchmark against it. Improve it.,https://github.com/SasanLabs/VulnerableApp,429,46399,Java,Mon Jun 29 22:55:56 CST 2026,718,124
gtiwari333/spring-boot-real-world-web-application-example,Real World Spring Boot Web Application Example with tons of ready to use features,https://github.com/gtiwari333/spring-boot-real-world-web-application-example,420,2388,Java,Mon Jun 29 22:47:40 CST 2026,148,3
piomin/sample-spring-kafka-microservices,Example microservices showing how to use Kafka and Kafka Streams with Spring Boot on the example of distributed transactions implementations with the SAGA pattern ,https://github.com/piomin/sample-spring-kafka-microservices,418,568,Java,Wed Jun 24 15:52:18 CST 2026,214,2
shiyindaxiaojie/eden-demo-cola,An enterprise-grade implementation of Alibaba's COLA architecture; driven by deep insights into DDD; CQRS; and SOLID. Proven in production.,https://github.com/shiyindaxiaojie/eden-demo-cola,414,2143,Java,Tue Apr 28 10:31:52 CST 2026,79,1
binarywang/weixin-java-cp-demo,基于Spring Boot 和 WxJava 实现的微信企业号/企业微信 后端Demo,https://github.com/binarywang/weixin-java-cp-demo,412,3118,Java,Sun Jan 25 06:08:39 CST 2026,261,15
gudaoxuri/dew,微服务一站式解决方案，提供：架构指南、容器优先/兼容Spring Cloud与Service Mesh的框架、最佳实践及Devops标准化流程。,https://github.com/gudaoxuri/dew,401,93375,Java,Sun Mar 01 21:43:33 CST 2026,173,15
feiyuchuixue/sz-boot-parent,Sz-Admin: An open-source Spring Boot 4 and Vue 3 admin scaffold with RBAC; dynamic menus; code generation; data scope; Excel; OSS and WebSocket support.,https://github.com/feiyuchuixue/sz-boot-parent,399,13314,Java,Thu Jun 25 19:34:33 CST 2026,100,20
opentracing-contrib/java-spring-cloud,Distributed tracing for Spring Boot; Cloud and other Spring projects,https://github.com/opentracing-contrib/java-spring-cloud,397,832,Java,Mon Jan 26 16:00:48 CST 2026,144,58
sonus21/rqueue,Rqueue: Job Queue and Scheduler for Spring and Spring Boot (Redis & NATS),https://github.com/sonus21/rqueue,389,11372,Java,Tue Jun 23 21:20:04 CST 2026,70,7
w8123/EnterpriseAgentFramework,Enterprise AI Capability Platform for Java/Spring Boot. Register business APIs as governed AI capabilities; compose Agents with GraphSpec; Runtime; MCP/A2A/Gateway; RunOps and Trace. 企业智能体开发框架-把 Java 企业系统中的接口、领域方法、知识、模型和流程，沉淀为可治理、可编排、可开放的 AI 能力资产。,https://github.com/w8123/EnterpriseAgentFramework,381,70853,Java,Fri Jun 26 07:08:57 CST 2026,24,0
Genc/spring-boot-boilerplate, Spring Boot Boilerplate is a starter kit. This project includes : Spring Boot(4.1.0); Spring Data JPA; Spring Validation; Spring Security + JWT Token; PostgreSQL; Mapstruct; Lombok; Swagger (Open API),https://github.com/Genc/spring-boot-boilerplate,379,93,Java,Fri Jun 12 05:25:09 CST 2026,168,0
MarcGiffing/bucket4j-spring-boot-starter,Spring Boot Starter for Bucket4j,https://github.com/MarcGiffing/bucket4j-spring-boot-starter,367,1435,Java,Mon Apr 13 12:47:36 CST 2026,76,20
dailycodebuffer/Spring-MVC-Tutorials,Spring-MVC-Tutorials,https://github.com/dailycodebuffer/Spring-MVC-Tutorials,365,307,Java,Fri Sep 12 11:50:34 CST 2025,923,9
sofn/ArchForge,Modern enterprise platform built with Spring Boot 4 ,https://github.com/sofn/ArchForge,365,6015,Java,Wed Jun 24 10:52:59 CST 2026,178,0
anton-liauchuk/educational-platform,Modular Monolith Java application with DDD,https://github.com/anton-liauchuk/educational-platform,364,1624,Java,Thu May 28 06:17:03 CST 2026,81,0
blueswen/spring-boot-observability,Observe Spring Boot app with three pillars of observability: Traces (Tempo); Metrics (Prometheus); Logs (Loki) on Grafana through OpenTelemetry and OpenMetrics.,https://github.com/blueswen/spring-boot-observability,362,22349,Java,Sun Jan 25 20:13:36 CST 2026,123,10
shuigedeng/taotao-cloud-project,taotao-cloud (taotao云平台)是一个企业级单体架构和微服务架构的快速开发脚手架。提供多种便捷starter进行功能扩展，采用DDD(领域驱动设计)思想，快速搭建企业级系统。基于gradle9.6.0、jdk25; spring7.0.8、SpringBoot4.1.0、SpringCloud2025.1.1、SpringCloudAlibaba2025.1.0.0、SpringSecurity7.1.0、Mybatis-Plus3.5.16等开发的微服务开发脚手架，包括中间件模块、大数据模块、微服务业务模块、前端模块提供技术框架的基础能力的封装，减少开发工作，只关注业务;包含了工作以来的工作总结和技术沉淀。,https://github.com/shuigedeng/taotao-cloud-project,355,613957,Java,Tue Jun 30 03:18:41 CST 2026,93,18
apache/camel-spring-boot-examples,Apache Camel Spring Boot Examples,https://github.com/apache/camel-spring-boot-examples,355,6446,Java,Wed Jun 24 10:06:48 CST 2026,374,0
wiremock/wiremock-spring-boot,WireMock Spring Boot drastically simplifies testing HTTP clients in Spring Boot & Junit 5 based integration tests.,https://github.com/wiremock/wiremock-spring-boot,352,459,Java,Thu Mar 12 00:48:53 CST 2026,25,12
guto-alves/loterias-api,API de Resultados das Loterias CAIXA,https://github.com/guto-alves/loterias-api,351,151,Java,Tue Jan 20 20:12:10 CST 2026,84,16
team-dodn/spring-boot-java-template,SpringBoot basic structure template based on Java,https://github.com/team-dodn/spring-boot-java-template,351,459,Java,Fri Jun 12 10:59:32 CST 2026,93,0
springwolf/springwolf-core,Automated documentation for event-driven applications built with Spring Boot,https://github.com/springwolf/springwolf-core,344,19738,Java,Mon Jun 29 16:25:43 CST 2026,97,22
algaworks/curso-especialista-spring-rest,Projeto do curso Especialista Spring REST da AlgaWorks,https://github.com/algaworks/curso-especialista-spring-rest,338,1952,Java,Tue Oct 21 06:32:07 CST 2025,440,0
rieckpil/testing-spring-boot-applications-masterclass,🍃 Master Spring Boot Testing: From Uncertain Deployments to Production Confidence,https://github.com/rieckpil/testing-spring-boot-applications-masterclass,330,11150,Java,Fri Jun 26 14:07:58 CST 2026,271,12
hb0730/boot-admin,BOOT-ADMIN是一个基于Spring Boot3和Vue3 的开源项目，项目采用前后端分离的模式;前端框架使用vue-pure-admin,https://github.com/hb0730/boot-admin,329,6239,Java,Fri Jun 13 03:52:12 CST 2025,103,6
shiyindaxiaojie/eden-architect,A modern; out-of-the-box Spring framework for building lean; clean; and maintainable apps with zero intrusion; official modularization; and optional dependencies.,https://github.com/shiyindaxiaojie/eden-architect,329,7940,Java,Fri Apr 24 14:45:06 CST 2026,83,11
apache/incubator-kie-optaplanner-quickstarts,OptaPlanner quick starts for AI optimization: many use cases shown in many different technologies.,https://github.com/apache/incubator-kie-optaplanner-quickstarts,329,7799,Java,Fri May 15 16:03:51 CST 2026,157,16
Nasruddin/spring-boot-based-microservices,A modular; scalable Spring Boot microservices framework for managing courses and reviews. It features OAuth 2.0 authentication via Keycloak; API management with Spring Cloud Gateway; and observability using OTel; Grafana; Loki; Tempo; and Prometheus. MongoDB and PostgreSQL handle storage; with deployments via Docker Compose and Kubernetes.,https://github.com/Nasruddin/spring-boot-based-microservices,325,10315,Java,Wed Mar 25 22:06:15 CST 2026,118,1
jkazama/ddd-java,Spring Boot + Java [ Evans DDD Sample ],https://github.com/jkazama/ddd-java,318,1013,Java,Tue Nov 25 23:17:58 CST 2025,69,0
geoserver/geoserver-cloud,GeoServer Cloud offers ready to use Spring Boot Apps provided for cloud use as dockerized microservices.,https://github.com/geoserver/geoserver-cloud,315,45346,Java,Tue Jun 23 12:01:20 CST 2026,101,42
siam1026/siam-cloud,暹罗外卖是一款Java外卖配送系统，适用于多商户入驻，对标美团外卖、饿了么。该系统包含用户端、商家端、配送端以及总管理后台，美食下单、外卖配送和扫码点餐等核心功能，同时提供积分商城、会员中心和邀请好友注册返现等增值服务，以拓展客源。未来可进一步开发同城配送跑腿等功能。基于 Spring Cloud & Alibaba + Vue & Element + uni-app 技术栈进行开发；,https://github.com/siam1026/siam-cloud,313,18946,Java,Sat Jun 13 07:40:02 CST 2026,65,1
woowacourse-teams/2020-6rinkers,🍸 좋은 술을 고민 없이; 칵테일 추천 서비스 "칵테일픽",https://github.com/woowacourse-teams/2020-6rinkers,308,10893,Java,Fri Jul 11 05:02:50 CST 2025,31,28
anton-liauchuk/java-interview,Java interview,https://github.com/anton-liauchuk/java-interview,300,381,Java,Fri May 22 03:12:03 CST 2026,63,0
raphaelDL/spring-webflux-security-jwt,A JWT authorization and authentication implementation  with Spring Reactive Webflux; Spring Boot 2 and Spring Security 5,https://github.com/raphaelDL/spring-webflux-security-jwt,298,97,Java,Tue May 26 03:23:02 CST 2026,86,8
kousen/spring-and-spring-boot,Lab solutions for Spring and Spring Boot course,https://github.com/kousen/spring-and-spring-boot,298,29339,Java,Thu Jan 29 09:05:56 CST 2026,259,0
apache/incubator-kie-kogito-examples,Apache KIE Examples repository with showcases on how to use Kogito; Drools; and jBPM,https://github.com/apache/incubator-kie-kogito-examples,296,53978,Java,Thu Jun 25 11:49:40 CST 2026,448,66
stratospheric-dev/stratospheric,All you need to know to get your Spring Boot application into production with AWS 🍃,https://github.com/stratospheric-dev/stratospheric,287,14711,Java,Mon Jun 29 04:17:38 CST 2026,191,0
laolunsi/spring-boot-examples,:green_salad:​ Spring/SpringBoot/SpringCloud 实践学习案例，从入门到精通，持续更新中，欢迎交流学习:beer: ！ ,https://github.com/laolunsi/spring-boot-examples,281,931,Java,Thu Mar 12 21:20:02 CST 2026,127,4
wkrzywiec/library-hexagonal,An example application written in Hexagonal (Ports and Adapter) architecture,https://github.com/wkrzywiec/library-hexagonal,279,10380,Java,Sun Jul 13 22:20:24 CST 2025,56,52
xsreality/spring-modulith-with-ddd,Modular Monolith architecture demonstration with Spring Modulith and DDD,https://github.com/xsreality/spring-modulith-with-ddd,279,143,Java,Wed Jun 10 12:23:02 CST 2026,35,3
hank-cp/sbp,Plugin framework for Spring Boot based on pf4j.,https://github.com/hank-cp/sbp,279,1195,Java,Thu Apr 02 19:51:11 CST 2026,85,10
pac4j/spring-security-pac4j,Bridge from the pac4j security library to Spring Security (reactive),https://github.com/pac4j/spring-security-pac4j,277,685,Java,Fri Jun 26 19:33:50 CST 2026,72,4
piomin/spring-boot-logging,A library for logging HTTP request/response for Spring Boot application and integration with Elastic Stack,https://github.com/piomin/spring-boot-logging,277,507,Java,Fri Jun 26 20:11:02 CST 2026,86,5
pig-mesh/oss-spring-boot-starter,兼容S3协议的通用文件存储工具类,https://github.com/pig-mesh/oss-spring-boot-starter,271,84,Java,Tue Dec 02 08:49:57 CST 2025,88,3
hantsy/spring-reactive-jwt-sample,Secures REST APIs with Spring Security and JWT Token-based Authentication powered by Spring Reactive stack,https://github.com/hantsy/spring-reactive-jwt-sample,264,562,Java,Sat Feb 28 19:58:01 CST 2026,54,0
abhi9720/BankingPortal-API,The banking portal API provides secure and efficient endpoints for managing user accounts; transactions; and fund transfers; offering essential banking functionalities with robust error handling and authentication.,https://github.com/abhi9720/BankingPortal-API,261,38525,Java,Fri Apr 03 06:07:53 CST 2026,216,10
piomin/sample-spring-microservices-advanced,More advanced samples of spring boot and spring cloud microservices showing usage of such tools like api Swagger2 on Zuul; integraction with MongoDB; configuration server; testing with Spring Cloud Contract or Hoverfly,https://github.com/piomin/sample-spring-microservices-advanced,260,329,Java,Tue Jun 23 01:17:30 CST 2026,139,2
loiane/crud-angular-spring,🖥 CRUD Angular + Spring demonstrating Has-Many relationship; including tests for the back-end and front-end,https://github.com/loiane/crud-angular-spring,259,14148,Java,Mon Jun 22 13:13:14 CST 2026,47,6
opengoofy/crane4j,一个简单易用的关联字段填充框架，通过简单的注解配置快速根据外键/编码值填充相关字段，支持字典，枚举，方法等多种数据源。   A simple and easy-to-use data mapping framework; quickly populate relevant fields according to foreign keys/encoded values through simple annotation configuration; supports dictionaries; enumerations; methods and other data sources.,https://github.com/opengoofy/crane4j,258,23205,Java,Wed Apr 08 10:19:23 CST 2026,40,34
julxxy/dtt-spring-boot-parent,DTT is an object-oriented Java framework that enables developers to automatically create database tables based on domain models through annotation-driven development; increasing productivity for developers. The core concept of DTT is domain-driven table; which makes you focus more on domain objects rather than database tables.,https://github.com/julxxy/dtt-spring-boot-parent,251,4800,Java,Thu Jun 19 11:22:50 CST 2025,23,0
kosaka-bun/qqrobot-sdk,QQ机器人一站式开发框架,https://github.com/kosaka-bun/qqrobot-sdk,248,2878,Java,Fri Feb 06 02:12:48 CST 2026,3,0
sivaprasadreddy/generator-springboot,Yeoman based Spring Boot Microservice generator,https://github.com/sivaprasadreddy/generator-springboot,247,5471,Java,Sun Sep 21 00:04:07 CST 2025,90,15
kochetkov-ma/allure-server,Allure Server. Save/ generate / provide allure2 reports in one place,https://github.com/kochetkov-ma/allure-server,246,14018,Java,Fri Jun 12 06:23:12 CST 2026,71,19
tangredtea/Spring-Blog,🤖 生产级 AI 博客系统：Spring Boot + MyBatis + Redis 实现智能内容管理。集成 OpenAI（自动摘要/标签推荐/质量评分）、SEO 优化、Markdown 编辑器、企业微信通知、Docker 部署。完整的 Spring Boot 全栈实战项目，适合学习/毕设/项目/二次开发 ✨,https://github.com/tangredtea/Spring-Blog,242,50882,Java,Wed Mar 11 20:10:21 CST 2026,25,0
qimu666/qi-api,Qi-API接口开放平台,https://github.com/qimu666/qi-api,241,314,Java,Sat May 02 06:35:21 CST 2026,55,0
jonashackt/spring-boot-graalvm,This example project shows how to compile a Webflux based Spring Boot application into a Native App using GraalVM Native Image locally & on GitHub Actions with & without Docker,https://github.com/jonashackt/spring-boot-graalvm,239,1747,Java,Fri Jun 26 13:10:02 CST 2026,54,9
enofex/taikai,Taikai is an extension of the popular ArchUnit library; offering a comprehensive suite of predefined rules tailored for various technologies.,https://github.com/enofex/taikai,238,1396,Java,Tue Jun 30 02:30:01 CST 2026,13,0
