fullName,description,url,stars,size,language,pushedAt,forks,openIssues
hs-web/hsweb-framework,hsweb (haʊs wɛb) 是一个基于spring-boot 2.x开发 ;首个使用全响应式编程的企业级后台管理系统基础项目。,https://github.com/hs-web/hsweb-framework,8402,34473,Java,Thu Jun 25 05:12:49 CST 2026,3025,8
pig-mesh/pig,↥ ↥ ↥ Follow for updates An RBAC permission management system based on Spring Cloud 2025; Spring Boot 4; and OAuth2.,https://github.com/pig-mesh/pig,6651,83248,Java,Sun Jun 28 19:22:19 CST 2026,1092,282
jetlinks/jetlinks-community,JetLinks  基于Java;Spring Boot ;WebFlux;Netty;Vert.x;Reactor等开发; 是一个全响应式的企业级物联网平台。支持统一物模型管理;多种设备;多种厂家;统一管理。统一设备连接管理;多协议适配(TCP;MQTT;UDP;CoAP;HTTP等);屏蔽网络编程复杂性;灵活接入不同厂家不同协议等设备。实时数据处理;设备告警;消息通知;数据转发。地理位置;数据可视化等。能帮助你快速建立物联网相关业务系统。,https://github.com/jetlinks/jetlinks-community,6532,72562,Java,Sun May 24 06:53:47 CST 2026,1912,52
DerekYRC/mini-spring,mini-spring is a simplified version of the Spring framework that helps you quickly familiarize yourself with Spring source code and master Spring's core principles. It extracts Spring's core logic with extremely simplified code while preserving Spring's core functionality.,https://github.com/DerekYRC/mini-spring,6361,1107,Java,Sat Jun 20 21:16:33 CST 2026,1452,32
apache/camel,Apache Camel is an open source integration framework with 350+ connectors. Write routes in Java; YAML; or XML. Run on Spring Boot; Quarkus; or standalone. Apache License 2.0.,https://github.com/apache/camel,6250,1318409,Java,Tue Jun 30 03:33:10 CST 2026,5131,25
rubenlagus/TelegramBots,Java library to create bots using Telegram Bots API,https://github.com/rubenlagus/TelegramBots,5468,4186,Java,Sun May 31 04:16:46 CST 2026,1357,201
baomidou/dynamic-datasource,dynamic datasource for springboot 多数据源 动态数据源 主从分离 读写分离 分布式事务 ,https://github.com/baomidou/dynamic-datasource,5179,1404,Java,Mon Apr 27 21:02:17 CST 2026,1244,5
spring-cloud/spring-cloud-netflix,Integration with Netflix OSS components,https://github.com/spring-cloud/spring-cloud-netflix,4969,21204,Java,Thu Jun 25 16:23:43 CST 2026,2457,100
spring-cloud/spring-cloud-gateway,An API Gateway built on Spring Framework and Spring Boot providing routing and more.,https://github.com/spring-cloud/spring-cloud-gateway,4884,15570,Java,Tue Jun 23 07:48:38 CST 2026,3456,526
s4kibs4mi/java-developer-roadmap,Roadmap to becoming a Java developer in 2026,https://github.com/s4kibs4mi/java-developer-roadmap,4499,9029,Java,Sun Mar 15 12:46:28 CST 2026,566,0
mybatis/spring-boot-starter,MyBatis integration with Spring Boot,https://github.com/mybatis/spring-boot-starter,4250,16606,Java,Sun Jun 28 16:28:55 CST 2026,1794,21
lilishop/lilishop,Java 开源商城系统，基于 Spring Boot / Spring Cloud / Vue / Uniapp 的 B2B2C 多商户商城源码，支持小程序商城、微服务、分销、直播、秒杀、Docker 私有化部署。,https://github.com/lilishop/lilishop,4225,50116,Java,Fri Jun 12 21:20:11 CST 2026,1024,11
Atmosphere/atmosphere,Real-time transport layer for Java AI agents. Build once with @Agent — deliver over WebSocket; SSE; gRPC; and WebTransport/HTTP3. Talk MCP; A2A and AG-UI. ,https://github.com/Atmosphere/atmosphere,3782,189157,Java,Tue Jun 30 11:06:45 CST 2026,759,32
1024-lab/smart-admin,SmartAdmin国内首个以「高质量代码」为核心，「简洁、高效、安全」快速开发平台；基于SpringBoot2/3 + Sa-Token + Mybatis-Plus 和 Vue3 + Vite5 + Ant Design Vue 4.x (同时支持JavaScript和TypeScript双版本)；满足国家三级等保要求、支持登录限制、接口数据国产加解密、高防SQL注入等一系列安全体系。,https://github.com/1024-lab/smart-admin,3749,36439,Java,Wed Jun 24 09:13:36 CST 2026,995,17
springdoc/springdoc-openapi,Library for OpenAPI 3 with spring-boot,https://github.com/springdoc/springdoc-openapi,3721,16856,Java,Sat Jun 20 16:38:50 CST 2026,598,33
grpc-ecosystem/grpc-spring,Spring Boot starter module for gRPC framework.,https://github.com/grpc-ecosystem/grpc-spring,3710,3937,Java,Thu Jun 25 08:51:18 CST 2026,862,172
grimmory-tools/grimmory,Grimmory is an independent community fork of Booklore.,https://github.com/grimmory-tools/grimmory,3602,60653,Java,Tue Jun 30 06:04:41 CST 2026,249,155
spring-cloud/spring-cloud-kubernetes,Kubernetes integration with Spring Cloud Discovery Client; Configuration; etc...,https://github.com/spring-cloud/spring-cloud-kubernetes,3535,61961,Java,Mon Jun 29 14:38:15 CST 2026,1052,27
ulisesbocchio/jasypt-spring-boot,Jasypt integration for Spring boot,https://github.com/ulisesbocchio/jasypt-spring-boot,3082,597,Java,Sun Jan 25 15:53:09 CST 2026,545,75
yizhiwazi/springboot-socks,SpringBoot 使用教程 | 从入门到上瘾 |  基于2.0版本制作 ,https://github.com/yizhiwazi/springboot-socks,2841,3038,Java,Sat Sep 20 10:40:30 CST 2025,1375,0
vector4wang/spring-boot-quick,:herb: 基于springboot的快速学习示例;整合自己遇到的开源框架;如：rabbitmq(延迟队列)、Kafka、jpa、redies、oauth2、swagger、jsp、docker、k3s、k3d、k8s、mybatis加解密插件、异常处理、日志输出、多模块开发、多环境打包、缓存cache、爬虫、jwt、GraphQL、dubbo、zookeeper和Async等等:pushpin:,https://github.com/vector4wang/spring-boot-quick,2784,5438,Java,Sat May 16 00:22:44 CST 2026,927,13
yzcheng90/x-springboot,X-SpringBoot是一个轻量级的Java快速开发平台，基于springboot3和jdk21，使用虚拟线程，可配置的SaaS功能具备RBAC功能、自动代码生成、多种存储系统，多种短信平台，可开放api授权。代码简洁，架构清晰，能快速开发项目并交付【接私活利器】,https://github.com/yzcheng90/x-springboot,2695,4662,Java,Tue Nov 25 20:26:08 CST 2025,820,3
vladmihalcea/hypersistence-utils,The Hypersistence Utils library (previously known as Hibernate Types) gives you Spring and Hibernate utilities that can help you get the most out of your data access layer.,https://github.com/vladmihalcea/hypersistence-utils,2661,2761,Java,Mon Jun 29 07:23:35 CST 2026,395,46
